NacidoProvincia;Sexo;EstadoCivil;CantHijos;DomicilioPartido;DomicilioProvincia;ComisariaJurisdiccional;Departamental;PoseeLicenciaConducir;TituloSecundario;TipoOtroEstudio;ConoceComputacion;ConoceIngles;ConoceOtros;Edad
BUENOS AIRES;F;Soltera/o;0;SAN VICENTE;BUENOS AIRES;CRIA.SAN VICENTE 1RA;JEF.DEP.DE SEG.SAN VICENTE;NO;TENCINO EN PRODUCCIÓN AGROPECUARIA;No posee;NO;NO;NO;20
BUENOS AIRES;M;Soltera/o;0;DOLORES;BUENOS AIRES;CRIA.DOLORES;JEF.DEP.DE SEG.DOLORES;SI;CIENCIAS SOCIALES;No posee;SI;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 2DA;JEF.DEP.DE SEG.ALTE.BROWN;NO;EN TRÁMITE;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 2DA;JEF.DEP.DE SEG.ALTE.BROWN;SI;BACHILLERATO EN COMUNICACION;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.QUILMES 3RA;JEF.DEP.DE SEG.QUILMES;NO;GESTIÓN Y ADMINISTRACIÓN DE EMPRESAS;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLERATO DE ECONOMÍA Y ADMINISTRACIÓN;Terciario Incompleto;SI;NO;NO;21
BUENOS AIRES;F;Soltera/o;1;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 5TA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLERATO EN CIENCIAS NATURALES;No posee;NO;SI;NO;21
QUILMES;M;Soltera/o;0;GENERAL PAZ;BUENOS AIRES;EST.POL.COM.GENERAL PAZ;JEF.DEP.DE SEG.SAN VICENTE;SI;BACHILLER EN CIENCIAS NATURALES;No posee;SI;NO;SI;21
BUENOS AIRES;F;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 3RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER EN CIENCIAS SOCIALES CON ORIENTACION EN POLITICAS PUBLICAS;No posee;NO;SI;NO;26
BUENOS AIRES;F;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 6TA;JEF.DEP.DE SEG.LA PLATA;NO;"BACHILLERATO CON ORIENTACIÓN EN ""ADMINISTRACIÓN DE EMPRESAS """;No posee;SI;NO;NO;20
BUENOS AIRES;F;Soltera/o;2;ADOLFO ALSINA;BUENOS AIRES;CRIA.25 DE MAYO 2DA;JEF.DEP.DE SEG.25 DE MAYO;NO;BACHILLERATO CON ORIENTACION EN GESTION Y ADMINISTRACION;No posee;NO;NO;NO;26
MORENO;F;Concubinato;2;MORENO;BUENOS AIRES;CRIA.MORENO 1RA;JEF.DEP.DE SEG.MORENO;NO;BACHILLERATO EN CIENCIAS SOCIALES Y PUBLICAS;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;MALVINAS ARGENTINAS;BUENOS AIRES;CRIA.PILAR 1RA;JEF.DEP.DE SEG.PILAR;NO;BACHILLER;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.MORON 1RA;JEF.DEP.DE SEG.MORON;NO;SECUNDARIO COMPLETO;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.QUILMES 3RA;JEF.DEP.DE SEG.QUILMES;NO;SECUNDARIO COMPLETO;No posee;NO;NO;SI;19
BUENOS AIRES;F;Soltera/o;4;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 1RA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;SECUNDARIO COMPLETO;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;2;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER;No posee;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;2;9 DE JULIO;BUENOS AIRES;EST.POL.COM.NUEVE DE JULIO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLER EN BIENES Y SERVICIOS;No posee;SI;NO;SI;25
RÍO NEGRO;F;Soltera/o;1;PATAGONES;BUENOS AIRES;SUBEST.POL.COM.C.PATAGONES;JEF.DEP.DE SEG.BAHIA BLANCA;NO;BACHILLER,MODALIDAD:HUMANIDADES Y CIENCIAS SOCIALES;No posee;SI;SI;NO;25
G.E-HUDSON;M;Soltera/o;1;BERAZATEGUI;BUENOS AIRES;CRIA.BERAZATEGUI 4TA;JEF.DEP.DE SEG.QUILMES;SI;BACHILLER CON ORIENTACION EN GESTION Y ADMINISTRACION ESPECIALIZADA EN MICRO EMPRENDIMIENTO;Terciario Incompleto;SI;SI;NO;26
CHACO;F;Soltera/o;0;TIGRE;BUENOS AIRES;CRIA.SAN MARTIN 1RA;JEF.DEP.DE SEG.SAN MARTIN;NO;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;No posee;SI;NO;NO;23
BUENOS AIRES;F;Soltera/o;3;CORONEL ROSALES;BUENOS AIRES;EST.POL.COM.PUNTA ALTA;JEF.DEP.DE SEG.BAHIA BLANCA;NO;BACHILLER DE ECONOMÍA;No posee;SI;NO;NO;26
BS AS;F;Soltera/o;1;ESCOBAR;BUENOS AIRES;CRIA.ESCOBAR 2DA;JEF.DEP.DE SEG.ZARATE-CAMPANA;SI;BACHILLER CS NATURALES;No posee;NO;NO;NO;26
BUENOS AIRES;M;Soltera/o;0;FLORENCIO VARELA;BUENOS AIRES;CRIA.SAN MARTIN 1RA;JEF.DEP.DE SEG.SAN MARTIN;SI;BACHILLER EN ARTES VISUALES;No posee;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 1RA;JEF.DEP.DE SEG.MORENO;NO;BACHILLERATO CIENCIAS NATURALES;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 8VA;JEF.DEP.DE SEG.MORENO;NO;BACHILLER DE ADMINISTRACION Y ECONOMIA;No posee;SI;SI;NO;25
BUENOS AIRES;M;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 1RA;JEF.DEP.DE SEG.MAR DEL PLATA;SI;BICHERATO CIENCIAS SOCIALES;No posee;NO;NO;NO;22
BUENOS AIRES;M;Concubinato;1;SAN PEDRO;BUENOS AIRES;CRIA.SAN PEDRO;JEF.DEP.DE SEG.SAN NICOLAS;SI;SECUNDARIO;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;0;JOSE C.PAZ;BUENOS AIRES;CRIA.PILAR 1RA;JEF.DEP.DE SEG.PILAR;NO;CS SOCIALES;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;1;CAPITAL FEDERAL;CIUDAD AUTÓNOMA DE BUENOS AIRES;CRIA.LA MATANZA SUR 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER;No posee;SI;NO;NO;22
BUENOS AIRES;F;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 5TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLERATO ECONOMIA Y ADMINISTRACION;No posee;SI;NO;NO;25
BUENOS AIRES;F;Soltera/o;2;ITUZAINGO;BUENOS AIRES;CRIA.ITUZAINGO 3RA;JEF.DEP.DE SEG.MORON;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 12DA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER CIENCIA SOCIALES;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA SUR 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLERATO CON ORIENTACIÓN EN ARTE-LITERATURA;No posee;NO;NO;NO;19
BUENOS AIRES;F;Soltera/o;1;MERLO;BUENOS AIRES;SUBCRIA.BARRIO MATERA;JEF.DEP.DE SEG.MERLO;SI;BACHILLER EN CIENCIAS NATURALES;No posee;NO;SI;NO;23
BUENOS AIRES;F;Soltera/o;1;ESTEBAN ECHEVERRIA;BUENOS AIRES;CRIA.ESTEBAN ECHEVERRIA 3RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;SIENCIAS SOCIALES;No posee;SI;NO;NO;22
BUENOS AIRES;M;Soltera/o;0;PEHUAJO;BUENOS AIRES;EST.POL.COM.PEHUAJO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;NO;NO;23
BUENOS AIRES;M;Casada/o;2;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 6TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;1;CHASCOMUS;BUENOS AIRES;EST.POL.COM.CHASCOMUS 1RA;JEF.DEP.DE SEG.CHASCOMUS;SI;TECNICO EN INFORMATICA PERSONAL Y PROFESIONAL;No posee;SI;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;TANDIL;BUENOS AIRES;CRIA.TANDIL 1RA;JEF.DEP.DE SEG.TANDIL;NO;BACHILLERATO DE EDUCACIÓN FÍSICA;No posee;NO;NO;NO;21
BUENOS AIRES;M;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.MERLO 6TA;JEF.DEP.DE SEG.MERLO;NO;SECUNDARIO;No posee;NO;NO;NO;20
BUENOS AIRES;F;Casada/o;3;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 15TA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER ECONÓMICA;No posee;NO;NO;NO;24
BUENOS AIRES;M;Soltera/o;1;BERAZATEGUI;BUENOS AIRES;CRIA.BERAZATEGUI 5TA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;NO;NO;24
BUENOS AIRES;F;Casada/o;1;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA OESTE 1RA;JEF.DEP.DE SEG.LA MATANZA;NO;BACHILLER EN ECONOMIA;No posee;NO;NO;NO;23
BUENOS AIRES;M;Soltera/o;1;SALADILLO;BUENOS AIRES;CRIA.SALADILLO;JEF.DEP.DE SEG.25 DE MAYO;SI;SECUNDARIO;No posee;SI;SI;NO;24
BUENO AIRES;F;Viuda/o;2;PRESIDENTE PERON;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;SECUNDARIO;No posee;NO;NO;NO;26
BUENOS AIRES;M;Soltera/o;1;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 5TA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;NO;No posee;NO;NO;NO;20
BUENOS AIRES;M;Soltera/o;1;OLAVARRIA;BUENOS AIRES;SUBCRIA.HINOJO;JEF.DEP.DE SEG.AZUL;SI;ECONOMÍA Y ADMINISTRACION;No posee;SI;SI;NO;23
BUENO AIRES;F;Soltera/o;1;PERGAMINO;BUENOS AIRES;CRIA.LA PLATA 1RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;NO;22
BUENOS AIRES;F;Soltera/o;1;BAHIA BLANCA;BUENOS AIRES;CRIA.BAHIA BLANCA 1RA;JEF.DEP.DE SEG.BAHIA BLANCA;NO;ARTRE Y LITERATURA;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 12DA;JEF.DEP.DE SEG.LA PLATA;SI;BACHILLERATO;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;MORENO;BUENOS AIRES;CRIA.MORENO 2DA;JEF.DEP.DE SEG.MORENO;NO;BACHILLERATO EN COMUNICACION;No posee;NO;NO;NO;20
BUENOS AIRES;F;Soltera/o;0;DOLORES;BUENOS AIRES;CRIA.DOLORES;JEF.DEP.DE SEG.DOLORES;NO;BACHILLERATO EN ARTES VISUALES;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;0;PEHUAJO;BUENOS AIRES;EST.POL.COM.PEHUAJO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLERATO CON ORIENTACIÓN DE PRODUCCIÓN DE BIENES Y SERVICIOS;No posee;SI;SI;NO;24
BUENOS AIRES;M;Soltera/o;0;AZUL;BUENOS AIRES;SUBCRIA.CACHARI;JEF.DEP.DE SEG.AZUL;SI;SECUNDARIO COMPLETO;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;1;EZEIZA;BUENOS AIRES;CRIA.LA PLATA 1RA;JEF.DEP.DE SEG.LA PLATA;NO;ANALITICO;No posee;NO;NO;NO;19
BUENOS AIRES;M;Soltera/o;0;LA MATANZA;BUENOS AIRES;CRIA.LA MATANZA NORESTE 2DA;JEF.DEP.DE SEG.LA MATANZA;SI;TÉCNICO EN ELECTRONICA;No posee;SI;SI;NO;21
9 DE ABRIL;F;Soltera/o;1;ESTEBAN ECHEVERRIA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 2DA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER EN ECONOMÍA Y GESTION;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 3RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER SECUNDARIO COMPLETÓ EN ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 16TA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLEREN ECONMIA Y ADMINISTRACION;No posee;SI;NO;NO;19
QUILMES ESTE;F;Soltera/o;0;QUILMES;BUENOS AIRES;CRIA.QUILMES 1RA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER;No posee;NO;NO;SI;26
BUENOS AIRES;M;Soltera/o;0;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 16TA;JEF.DEP.DE SEG.MAR DEL PLATA;SI;BACHILLE REN ECONMIA Y ADMINISTRACION;No posee;SI;NO;NO;23
BUENOS AIRES;F;Soltera/o;1;AZUL;BUENOS AIRES;CRIA.AZUL 1RA;JEF.DEP.DE SEG.AZUL;NO;BACHILLERATO EN CIENCIAS SOCIALES ESPECIALIZADO EN POLÍTICAS PUBLICAS;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;0;ESTEBAN ECHEVERRIA;BUENOS AIRES;EST.POL.COM.CORONEL SUAREZ;JEF.DEP.DE SEG.CNEL.SUAREZ;NO;BACHILLER EN CIENCIAS SOCIALES;No posee;SI;SI;NO;20
PUNTA LARA;F;Soltera/o;1;ENSENADA;BUENOS AIRES;CRIA.ENSENADA 2DA;JEF.DEP.DE SEG.LA PLATA;NO;BACHIRATO;No posee;SI;NO;NO;22
BUENOS AIRES;F;Soltera/o;1;9 DE JULIO;BUENOS AIRES;EST.POL.COM.NUEVE DE JULIO;JEF.DEP.DE SEG.PEHUAJO;SI;BACHILLER EN ADMINISTRACIÓN Y GESTIÓN CONTABLE;No posee;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;1;SAN VICENTE;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;SECUNDARIO TERMINADO;No posee;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;1;MORENO;BUENOS AIRES;CRIA.MORENO 7MA;JEF.DEP.DE SEG.MORENO;NO;BACHILLER EN ARTES VISUALES;No posee;NO;NO;NO;20
MISIONES;F;Soltera/o;0;PILAR;BUENOS AIRES;CRIA.PILAR 5TA;JEF.DEP.DE SEG.PILAR;NO;BACHILLER EN COMUNICACIONES;No posee;NO;NO;NO;19
BUENOS AIRES;M;Casada/o;0;ALMIRANTE BROWN;BUENOS AIRES;CRIA.ALMIRANTE BROWN 5TA;JEF.DEP.DE SEG.ALTE.BROWN;SI;BACHILLER EN CS SOCIALES;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;3 DE FEBRERO;BUENOS AIRES;CRIA.TRES DE FEBRERO 11RA;JEF.DEP.DE SEG.SAN MARTIN;NO;BACHILLER;No posee;SI;NO;NO;19
BUENOS AIRE;F;Soltera/o;0;LAS FLORES;BUENOS AIRES;CRIA.AZUL 1RA;JEF.DEP.DE SEG.AZUL;NO;BACHILLER EN ADMINISTRACCION Y GESTION DE EMPRESAS;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;BERISSO;BUENOS AIRES;CRIA.BERISSO 2DA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLER CIENCIAS SOCIALES;No posee;SI;NO;NO;25
BUENOS AIRES;M;Soltera/o;0;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 12DA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO AGROPECUARIO;No posee;NO;NO;NO;23
BUENOS AIRES;F;Soltera/o;0;PEHUAJO;BUENOS AIRES;EST.POL.COM.PEHUAJO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLER EN ECONOMÍA Y ADMINISTRACIÓN;No posee;NO;NO;NO;23
OLAVARRÍA;F;Soltera/o;1;OLAVARRIA;BUENOS AIRES;CRIA.25 DE MAYO 2DA;JEF.DEP.DE SEG.25 DE MAYO;NO;ADMINISTRACIÓN DE EMPRESAS;No posee;SI;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;PEHUAJO;BUENOS AIRES;EST.POL.COM.PEHUAJO;JEF.DEP.DE SEG.PEHUAJO;NO;BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADO  MICROEMPRENDIMIENTO;No posee;NO;NO;NO;25
BUENOS AIRES;F;Soltera/o;0;25 DE MAYO;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;SI;SECUNDARIO COMPLETO;No posee;NO;NO;NO;24
BUENOS AIRES;F;Soltera/o;0;AZUL;BUENOS AIRES;SUBCRIA.CACHARI;JEF.DEP.DE SEG.AZUL;NO;BACHILLER EN ECONOMÍA CONTABLE;No posee;NO;NO;NO;21
BUENOS AIRES;F;Soltera/o;1;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.LANUS 7MA;JEF.DEP.DE SEG.LANUS;NO;ECONOMIA A LA ADMINISTRACION;No posee;NO;NO;NO;20
CAPITAL FEDERAL;F;Soltera/o;0;LANUS;BUENOS AIRES;CRIA.LANUS 1RA;JEF.DEP.DE SEG.LANUS;NO;BACHILLER A DISTANCIA;No posee;NO;NO;NO;25
BUENOS AIRES;M;Soltera/o;0;SAN ISIDRO;BUENOS AIRES;CRIA.SAN ISIDRO 3RA;JEF.DEP.DE SEG.CONURBANO NORTE;NO;BACHILLER;No posee;NO;NO;NO;22
MISIONES;M;Soltera/o;1;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.LOMAS DE ZAMORA 7MA;JEF.DEP.DE SEG.LANUS;SI;BACHILLER CON ORIENTACIÓN EN CIENSIAS SOCIALES ESPECIALIZADOS EN GESTION DE POLITICAS PUBLICAS;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;1;GENERAL PUEYRREDON;BUENOS AIRES;CRIA.MAR DEL PLATA 8VA;JEF.DEP.DE SEG.MAR DEL PLATA;NO;BACHILLER EN CIENCIAS NATURALES;No posee;SI;SI;NO;23
BUENOS AIRES;F;Soltera/o;1;PRESIDENTE PERON;BUENOS AIRES;CRIA.ALMIRANTE BROWN 1RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;INCLUYENTE;No posee;SI;NO;NO;25
BUENOS AIRES;F;Soltera/o;2;LA PLATA;BUENOS AIRES;CRIA.LA PLATA 11RA;JEF.DEP.DE SEG.LA PLATA;NO;BACHILLERATO PARA ADULTO CON ORIENTACION EN CIENCIA SOCIALES ESPECIALIZADO;No posee;SI;NO;NO;24
BUENOS AIRES;M;Soltera/o;0;MERLO;BUENOS AIRES;CRIA.25 DE MAYO 1RA;JEF.DEP.DE SEG.25 DE MAYO;NO;SECUNDARIO COMPLETÓ;No posee;NO;NO;NO;19
OLAVARRIA;F;Soltera/o;0;OLAVARRIA;BUENOS AIRES;CRIA.OLAVARRIA 1RA;JEF.DEP.DE SEG.AZUL;NO;SECUNDARIO;No posee;SI;SI;NO;26
BUENOS AIRES;F;Casada/o;1;QUILMES;BUENOS AIRES;CRIA.QUILMES 9NA;JEF.DEP.DE SEG.QUILMES;NO;BACHILLER EN ECONOMÍA Y GESTIÓN;No posee;SI;SI;NO;25
BUENOS AIRES;F;Soltera/o;0;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 3RA;JEF.DEP.DE SEG.ALTE.BROWN;NO;BACHILLER ARTES VISUALES;No posee;NO;NO;NO;21
BUENOS AIRES;M;Soltera/o;1;LOMAS DE ZAMORA;BUENOS AIRES;CRIA.ALMIRANTE BROWN 3RA;JEF.DEP.DE SEG.ALTE.BROWN;SI;BACHILLER CIENCIAS SOCIALES Y HUMANIDADES;No posee;NO;NO;NO;22
PINAMAR;F;Soltera/o;0;PINAMAR;BUENOS AIRES;EST.POL.COM.PINAMAR;JEF.DEP.DE SEG.PINAMAR;SI;BACHILLER EN CIENCIAS NATURALES;No posee;NO;NO;NO;21
